A/C,RH,UT_O,OT,UT,RH_UT,RH_O,NORMAL
chillie KR,0.214733542,0.070532915,0.139498433,0.340125392,0.081504702,0.087774295,0.065830721
chillie MR,0,0,0,1,0,0,0
chillie LR,0.285714286,0,0.142857143,0.285714286,0.285714286,0,0
chillie NR,0.153846154,0.08974359,0.128205128,0.41025641,0.051282051,0.128205128,0.038461538
cauliflower KR,0.197183099,0.070422535,0.130784708,0.346076459,0.072434608,0.106639839,0.076458753
cauliflower MR,0.19047619,0,0.285714286,0.333333333,0.095238095,0.047619048,0.047619048
cauliflower LR,0.3125,0,0.15625,0.375,0.0625,0.03125,0.0625
cauliflower HR,0.5,0,0,0.5,0,0,0
cauliflower NR,0.220930233,0.098837209,0.139534884,0.348837209,0.104651163,0.063953488,0.023255814
carrot KR,0.137931034,0.022988506,0.126436782,0.275862069,0.045977011,0.103448276,0.287356322
carrot MR,0.1,0.05,0.175,0.4,0.1,0.1,0.075
carrot LR,0.178947368,0.042105263,0.157894737,0.4,0.126315789,0.084210526,0.010526316
carrot HR,0.272727273,0.090909091,0,0.454545455,0.090909091,0.090909091,0
carrot NR,0.234215886,0.087576375,0.136456212,0.344195519,0.075356415,0.089613035,0.032586558
chow-chow KR,0.202146691,0.073345259,0.137745975,0.336314848,0.080500894,0.098389982,0.071556351
chow-chow MR,0.25,0.125,0.125,0.25,0.125,0.125,0
chow-chow LR,0.090909091,0.136363636,0.090909091,0.409090909,0.181818182,0.090909091,0
chow-chow HR,0,0,0.75,0.25,0,0,0
chow-chow NR,0.259541985,0.053435115,0.129770992,0.396946565,0.061068702,0.061068702,0.038167939
corn KR,0.208403361,0.07394958,0.127731092,0.337815126,0.078991597,0.100840336,0.072268908
corn MR,0,0,0,1,0,0,0
corn LR,0.227272727,0.045454545,0.227272727,0.318181818,0.090909091,0.045454545,0.045454545
corn HR,0.333333333,0,0,0.333333333,0,0.333333333,0
corn NR,0.207920792,0.069306931,0.188118812,0.396039604,0.089108911,0.03960396,0.00990099
cucumber KR,0.204930663,0.073959938,0.141756549,0.351309707,0.073959938,0.090909091,0.063174114
cucumber MR,0.5,0,0,0.5,0,0,0
cucumber LR,0.25,0,0,0.375,0.25,0,0.125
cucumber NR,0.230769231,0.061538462,0.123076923,0.307692308,0.123076923,0.107692308,0.046153846
drumstick KR,0.209302326,0.023255814,0.127906977,0.209302326,0.104651163,0.058139535,0.26744186
drumstick MR,0.20754717,0.056603774,0.150943396,0.358490566,0.094339623,0.094339623,0.037735849
drumstick LR,0.227848101,0.063291139,0.139240506,0.35443038,0.101265823,0.063291139,0.050632911
drumstick HR,0.2,0,0.1,0.7,0,0,0
drumstick NR,0.205645161,0.084677419,0.139112903,0.362903226,0.072580645,0.102822581,0.032258065
greens KR,0.265060241,0.048192771,0.120481928,0.192771084,0.060240964,0.036144578,0.277108434
greens MR,0.172043011,0.053763441,0.096774194,0.440860215,0.096774194,0.096774194,0.043010753
greens LR,0.16969697,0.096969697,0.157575758,0.375757576,0.084848485,0.096969697,0.018181818
greens HR,0.263157895,0.105263158,0.105263158,0.315789474,0,0.157894737,0.052631579
greens NR,0.21978022,0.068681319,0.145604396,0.348901099,0.082417582,0.096153846,0.038461538
gourds KR,0.190751445,0.052023121,0.179190751,0.277456647,0.046242775,0.115606936,0.138728324
gourds MR,0.035714286,0.107142857,0.107142857,0.392857143,0.107142857,0.178571429,0.071428571
gourds LR,0.242105263,0.094736842,0.136842105,0.357894737,0.105263158,0.052631579,0.010526316
gourds HR,0,0,0,0.333333333,0.333333333,0.333333333,0
gourds NR,0.221176471,0.072941176,0.124705882,0.371764706,0.084705882,0.082352941,0.042352941
kovaikai KR,0.212341198,0.063520871,0.130671506,0.343012704,0.083484574,0.099818512,0.067150635
kovaikai MR,0,0,0.166666667,0.333333333,0.333333333,0.166666667,0
kovaikai LR,0.166666667,0.222222222,0.111111111,0.333333333,0,0.111111111,0.055555556
kovaikai HR,0,0.5,0,0,0,0,0.5
kovaikai NR,0.210884354,0.081632653,0.170068027,0.37414966,0.068027211,0.054421769,0.040816327
kothavarai KR,0.212669683,0.075414781,0.140271493,0.343891403,0.07239819,0.092006033,0.063348416
kothavarai MR,0,0,0,1,0,0,0
kothavarai LR,0.125,0,0,0.375,0.375,0.125,0
kothavarai NR,0.173076923,0.038461538,0.134615385,0.384615385,0.134615385,0.076923077,0.057692308
L finger KR,0.25,0.041666667,0.072916667,0.229166667,0.072916667,0.083333333,0.25
L finger MR,0.162601626,0.081300813,0.138211382,0.406504065,0.089430894,0.073170732,0.048780488
L finger LR,0.231578947,0.073684211,0.110526316,0.368421053,0.1,0.089473684,0.026315789
L finger HR,0.103448276,0.137931034,0.172413793,0.379310345,0.172413793,0.034482759,0
L finger NR,0.20979021,0.06993007,0.174825175,0.346153846,0.055944056,0.108391608,0.034965035
malli KR,0.205588822,0.071856287,0.127744511,0.347305389,0.081836327,0.099800399,0.065868263
malli MR,0.3,0.1,0.3,0.2,0,0,0.1
malli LR,0.185185185,0.037037037,0.111111111,0.407407407,0.111111111,0.074074074,0.074074074
malli HR,0.5,0,0,0.5,0,0,0
malli NR,0.211956522,0.076086957,0.163043478,0.347826087,0.076086957,0.076086957,0.048913043
mango KR,0.224108659,0.062818336,0.139219015,0.325976231,0.086587436,0.095076401,0.066213922
mango MR,0.111111111,0.111111111,0,0.555555556,0.111111111,0.111111111,0
mango LR,0.185185185,0.111111111,0.222222222,0.296296296,0.037037037,0.111111111,0.037037037
mango HR,0,0,0.25,0.75,0,0,0
mango NR,0.136842105,0.115789474,0.115789474,0.463157895,0.052631579,0.063157895,0.052631579
mushroom KR,0.209471767,0.06557377,0.132969035,0.344262295,0.080145719,0.094717668,0.072859745
mushroom MR,0.285714286,0.142857143,0.142857143,0.428571429,0,0,0
mushroom LR,0.25,0.035714286,0.25,0.178571429,0.142857143,0.107142857,0.035714286
mushroom HR,0,0,0.333333333,0.333333333,0,0,0.333333333
mushroom NR,0.197080292,0.102189781,0.131386861,0.394160584,0.072992701,0.080291971,0.02189781
nuckol KR,0.215288612,0.074882995,0.141965679,0.338533541,0.081123245,0.087363495,0.060842434
nuckol MR,0,0,0,0.5,0.5,0,0
nuckol LR,0,0,0.090909091,0.363636364,0.181818182,0.090909091,0.272727273
nuckol HR,0.333333333,0.333333333,0,0,0,0,0.333333333
nuckol NR,0.179104478,0.044776119,0.119402985,0.447761194,0.044776119,0.134328358,0.029850746
onion KR,0.097560976,0,0.12195122,0.146341463,0.073170732,0,0.56097561
onion MR,0.095238095,0.047619048,0.119047619,0.452380952,0.119047619,0.142857143,0.023809524
onion LR,0.205607477,0.093457944,0.130841121,0.364485981,0.112149533,0.065420561,0.028037383
onion HR,0.111111111,0.111111111,0,0.444444444,0,0.333333333,0
onion NR,0.228571429,0.074285714,0.144761905,0.35047619,0.072380952,0.095238095,0.034285714
peas KR,0.208677686,0.076446281,0.130165289,0.357438017,0.064049587,0.095041322,0.068181818
peas MR,0.090909091,0.090909091,0.272727273,0.545454545,0,0,0
peas LR,0.171428571,0.028571429,0.085714286,0.428571429,0.171428571,0.028571429,0.085714286
peas HR,0.333333333,0,0,0.666666667,0,0,0
peas NR,0.219895288,0.068062827,0.162303665,0.293193717,0.109947644,0.09947644,0.047120419
potroot KR,0.200934579,0.067757009,0.156542056,0.336448598,0.070093458,0.086448598,0.081775701
potroot MR,0.074074074,0,0.185185185,0.444444444,0.185185185,0.074074074,0.037037037
potroot LR,0.183673469,0.06122449,0.081632653,0.489795918,0.081632653,0.081632653,0.020408163
potroot HR,0.166666667,0,0.166666667,0,0.166666667,0.5,0
potroot NR,0.247663551,0.093457944,0.107476636,0.336448598,0.08411215,0.093457944,0.037383178
paneer KR,0.198245614,0.073684211,0.136842105,0.347368421,0.073684211,0.092982456,0.077192982
paneer MR,0.5,0.1,0.1,0.2,0.1,0,0
paneer LR,0.25,0.05,0.2,0.45,0.05,0,0
paneer HR,0,0,0.5,0.5,0,0,0
paneer NR,0.229508197,0.06557377,0.131147541,0.344262295,0.114754098,0.106557377,0.008196721
potato KR,0.118644068,0.06779661,0.152542373,0.296610169,0.06779661,0.059322034,0.237288136
potato MR,0.129032258,0.096774194,0.064516129,0.483870968,0.064516129,0.129032258,0.032258065
potato LR,0.132653061,0.030612245,0.142857143,0.459183673,0.112244898,0.091836735,0.030612245
potato HR,0.214285714,0.142857143,0.071428571,0.285714286,0.071428571,0.142857143,0.071428571
potato NR,0.252699784,0.07775378,0.140388769,0.330453564,0.07775378,0.095032397,0.025917927
pumkin KR,0.21319797,0.069373942,0.138747885,0.343485618,0.072758037,0.093062606,0.069373942
pumkin MR,0.142857143,0,0,0.571428571,0.285714286,0,0
pumkin LR,0.222222222,0.111111111,0.111111111,0.296296296,0.148148148,0.111111111,0
pumkin HR,0,0,0,0.5,0.5,0,0
pumkin NR,0.18556701,0.082474227,0.154639175,0.371134021,0.082474227,0.082474227,0.041237113
pudina KR,0.226337449,0.072016461,0.127572016,0.335390947,0.0781893,0.090534979,0.069958848
pudina MR,0.166666667,0.055555556,0.222222222,0.222222222,0.166666667,0.055555556,0.111111111
pudina LR,0.184210526,0.052631579,0.105263158,0.421052632,0.078947368,0.078947368,0.078947368
pudina HR,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0
pudina NR,0.170454545,0.073863636,0.164772727,0.386363636,0.073863636,0.096590909,0.034090909
radish KR,0.219941349,0.055718475,0.137829912,0.325513196,0.076246334,0.090909091,0.093841642
radish MR,0.24,0.04,0.2,0.28,0.16,0.08,0
radish LR,0.178571429,0.071428571,0.107142857,0.446428571,0.053571429,0.125,0.017857143
radish HR,0,0,0,0.75,0,0.25,0
radish NR,0.201342282,0.093959732,0.140939597,0.355704698,0.083892617,0.083892617,0.040268456
tomato KR,0.134615385,0.019230769,0.076923077,0.153846154,0.076923077,0.096153846,0.442307692
tomato MR,0.175,0.175,0.075,0.25,0.2,0.075,0.05
tomato LR,0.193877551,0.051020408,0.12244898,0.5,0.06122449,0.06122449,0.010204082
tomato HR,0.375,0,0.125,0.375,0,0.125,0
tomato NR,0.218631179,0.074144487,0.152091255,0.346007605,0.076045627,0.096958175,0.036121673
tondaikai KR,0.20970266,0.070422535,0.13771518,0.345852895,0.076682316,0.092331768,0.067292645
tondaikai LR,0.166666667,0.333333333,0,0.333333333,0.166666667,0,0
tondaikai NR,0.202531646,0.063291139,0.151898734,0.367088608,0.101265823,0.088607595,0.025316456
vazpoo/thandu KR,0.213960546,0.071320182,0.138088012,0.341426404,0.075872534,0.094081942,0.065250379
vazpoo/thandu MR,0,0.333333333,0.333333333,0,0.333333333,0,0
vazpoo/thandu LR,0.166666667,0,0,0.666666667,0.166666667,0,0
vazpoo/thandu HR,0,0,0.333333333,0.666666667,0,0,0
vazpoo/thandu NR,0.169811321,0.075471698,0.132075472,0.396226415,0.113207547,0.075471698,0.037735849
yams KR,0.214750542,0.060737527,0.134490239,0.340563991,0.086767896,0.082429501,0.080260304
yams MR,0.166666667,0.041666667,0.125,0.5,0.041666667,0.083333333,0.041666667
yams LR,0.133333333,0.15,0.083333333,0.4,0.083333333,0.133333333,0.016666667
yams HR,0.166666667,0.166666667,0.166666667,0.5,0,0,0
yams NR,0.225433526,0.075144509,0.167630058,0.323699422,0.069364162,0.104046243,0.034682081
gram KR,0.1,0,0.1,0.066666667,0.033333333,0,0.7
gram MR,0.23943662,0.035211268,0.133802817,0.323943662,0.105633803,0.105633803,0.056338028
gram LR,0.172995781,0.088607595,0.135021097,0.41350211,0.088607595,0.075949367,0.025316456
gram HR,0.142857143,0.028571429,0.171428571,0.428571429,0.085714286,0.114285714,0.028571429
gram NR,0.242857143,0.089285714,0.142857143,0.325,0.064285714,0.103571429,0.032142857
channa KR,0.217391304,0.053140097,0.144927536,0.299516908,0.033816425,0.101449275,0.149758454
channa MR,0.168539326,0.146067416,0.134831461,0.359550562,0.08988764,0.078651685,0.02247191
channa LR,0.25974026,0.051948052,0.097402597,0.357142857,0.123376623,0.077922078,0.032467532
channa HR,0.227272727,0,0.090909091,0.5,0.045454545,0.090909091,0.045454545
channa NR,0.182539683,0.079365079,0.162698413,0.365079365,0.091269841,0.095238095,0.023809524
dhal KR,0.125,0,0.09375,0.09375,0.03125,0,0.65625
dhal MR,0.213114754,0.081967213,0.114754098,0.344262295,0.081967213,0.131147541,0.032786885
dhal LR,0.227722772,0.069306931,0.089108911,0.435643564,0.04950495,0.079207921,0.04950495
dhal HR,0.111111111,0.111111111,0.055555556,0.388888889,0.166666667,0.166666667,0
dhal NR,0.212890625,0.07421875,0.15625,0.345703125,0.0859375,0.091796875,0.033203125
maida KR,0.165876777,0.042654028,0.142180095,0.36492891,0.071090047,0.071090047,0.142180095
maida MR,0.15625,0.09375,0.15625,0.4375,0.0625,0.0625,0.03125
maida LR,0.26744186,0.11627907,0.093023256,0.360465116,0.046511628,0.081395349,0.034883721
maida HR,0.25,0.083333333,0.083333333,0.333333333,0.083333333,0.166666667,0
maida NR,0.221932115,0.075718016,0.146214099,0.328981723,0.093994778,0.104438642,0.028720627
oats KR,0.206504065,0.069918699,0.133333333,0.343089431,0.084552846,0.094308943,0.068292683
oats MR,0.25,0,0,0.25,0.5,0,0
oats LR,0.3,0,0.3,0.3,0.1,0,0
oats NR,0.210526316,0.094736842,0.157894737,0.389473684,0.031578947,0.084210526,0.031578947
ragi KR,0.207224335,0.074144487,0.123574144,0.33460076,0.08365019,0.102661597,0.074144487
ragi MR,0.066666667,0,0.333333333,0.533333333,0.066666667,0,0
ragi LR,0.090909091,0.090909091,0.181818182,0.5,0.090909091,0.045454545,0
ragi HR,0.333333333,0,0,0.666666667,0,0,0
ragi NR,0.240506329,0.069620253,0.164556962,0.348101266,0.069620253,0.069620253,0.037974684
rice KR,0.212418301,0.073529412,0.147058824,0.328431373,0.073529412,0.093137255,0.071895425
rice LR,0.5,0,0,0.333333333,0,0.166666667,0
rice NR,0.169811321,0.066037736,0.094339623,0.462264151,0.122641509,0.075471698,0.009433962
wheat KR,0.157894737,0.042105263,0.115789474,0.273684211,0.052631579,0.105263158,0.252631579
wheat MR,0.205128205,0.025641026,0.102564103,0.435897436,0.153846154,0.076923077,0
wheat LR,0.227722772,0.099009901,0.118811881,0.396039604,0.069306931,0.059405941,0.02970297
wheat HR,0.111111111,0,0.166666667,0.555555556,0.055555556,0.055555556,0.055555556
wheat NR,0.218683652,0.078556263,0.148619958,0.337579618,0.082802548,0.097664544,0.036093418
coconut KR,0.221052632,0.063157895,0.131578947,0.289473684,0.078947368,0.063157895,0.152631579
coconut MR,0.166666667,0.125,0.104166667,0.416666667,0.125,0.0625,0
coconut LR,0.289156627,0.072289157,0.144578313,0.289156627,0.084337349,0.084337349,0.036144578
coconut HR,0.166666667,0,0,0.833333333,0,0,0
coconut NR,0.191435768,0.070528967,0.146095718,0.37279597,0.075566751,0.110831234,0.032745592
oil KR,0.268292683,0.042682927,0.12195122,0.256097561,0.106707317,0.097560976,0.106707317
oil MR,0.064516129,0.096774194,0.258064516,0.451612903,0.064516129,0.064516129,0
oil LR,0.135802469,0.086419753,0.160493827,0.518518519,0.049382716,0.024691358,0.024691358
oil HR,0.2,0,0.2,0.6,0,0,0
oil NR,0.17562724,0.100358423,0.136200717,0.390681004,0.0609319,0.107526882,0.028673835
garlic KR,0.214084507,0.061971831,0.132394366,0.323943662,0.092957746,0.084507042,0.090140845
garlic MR,0.162162162,0.081081081,0.081081081,0.540540541,0.081081081,0.054054054,0
garlic LR,0.147540984,0.098360656,0.196721311,0.360655738,0.114754098,0.049180328,0.032786885
garlic HR,0.142857143,0,0.285714286,0.571428571,0,0,0
garlic NR,0.223484848,0.079545455,0.136363636,0.34469697,0.056818182,0.117424242,0.041666667
ginger KR,0.195402299,0.068965517,0.123563218,0.324712644,0.08908046,0.097701149,0.100574713
ginger MR,0.096774194,0.096774194,0.225806452,0.419354839,0.032258065,0.096774194,0.032258065
ginger LR,0.264150943,0.037735849,0.150943396,0.320754717,0.056603774,0.150943396,0.018867925
ginger HR,0.166666667,0,0.166666667,0.666666667,0,0,0
ginger NR,0.227272727,0.08041958,0.143356643,0.367132867,0.08041958,0.073426573,0.027972028
pepper KR,0.215384615,0.066153846,0.138461538,0.352307692,0.069230769,0.090769231,0.067692308
pepper MR,0.25,0.5,0.25,0,0,0,0
pepper LR,0.2,0,0.2,0.2,0.4,0,0
pepper NR,0.138461538,0.107692308,0.123076923,0.338461538,0.169230769,0.107692308,0.015384615
tamarind KR,0.21875,0.0625,0.1015625,0.28125,0.0859375,0.0625,0.1875
tamarind MR,0.117647059,0.098039216,0.235294118,0.333333333,0.058823529,0.156862745,0
tamarind LR,0.159292035,0.053097345,0.14159292,0.451327434,0.115044248,0.053097345,0.026548673
tamarind HR,0.25,0,0.125,0.5625,0,0.0625,0
tamarind NR,0.228365385,0.079326923,0.137019231,0.334134615,0.074519231,0.103365385,0.043269231
aginomoto KR,0.192612137,0.063324538,0.131926121,0.34828496,0.073878628,0.100263852,0.089709763
aginomoto MR,0.181818182,0.121212121,0.121212121,0.393939394,0.090909091,0.060606061,0.03030303
aginomoto LR,0.240740741,0.074074074,0.166666667,0.333333333,0.111111111,0.074074074,0
aginomoto HR,0,0,0,0.5,0.25,0.25,0
aginomoto NR,0.232283465,0.078740157,0.145669291,0.342519685,0.078740157,0.082677165,0.039370079
spices KR,0.213483146,0.06741573,0.142322097,0.34082397,0.06741573,0.08988764,0.078651685
spices MR,0,0.166666667,0,0.666666667,0,0.166666667,0
spices LR,0.111111111,0.111111111,0.166666667,0.388888889,0.055555556,0.166666667,0
spices HR,0.5,0,0,0.5,0,0,0
spices NR,0.203703704,0.080246914,0.12962963,0.351851852,0.12962963,0.086419753,0.018518519
coco KR,0.21024735,0.065371025,0.132508834,0.35335689,0.077738516,0.086572438,0.074204947
coco MR,0.222222222,0,0.222222222,0.444444444,0,0.111111111,0
coco LR,0.133333333,0.066666667,0.133333333,0.6,0.066666667,0,0
coco HR,0.333333333,0,0.666666667,0,0,0,0
coco NR,0.20610687,0.106870229,0.145038168,0.297709924,0.099236641,0.122137405,0.022900763
drink 1 KR,0.209191759,0.066561014,0.144215531,0.34548336,0.077654517,0.091917591,0.064976228
drink 1 MR,0.25,0.25,0.5,0,0,0,0
drink 1 LR,0,0.222222222,0.222222222,0.222222222,0.111111111,0.111111111,0.111111111
drink 1 NR,0.225,0.0875,0.0625,0.4,0.1,0.0875,0.0375
drink2 KR,0.210776545,0.066561014,0.144215531,0.343898574,0.077654517,0.091917591,0.064976228
drink2 MR,0.25,0.25,0.25,0.25,0,0,0
drink2 LR,0,0.125,0.25,0.375,0,0.125,0.125
drink2 NR,0.209876543,0.098765432,0.074074074,0.382716049,0.111111111,0.086419753,0.037037037
fruit1 KR,0.240384615,0.019230769,0.163461538,0.163461538,0.038461538,0.153846154,0.221153846
fruit1 MR,0.136752137,0.05982906,0.102564103,0.487179487,0.136752137,0.05982906,0.017094017
fruit1 LR,0.223918575,0.083969466,0.13740458,0.363867684,0.066157761,0.083969466,0.040712468
fruit1 HR,0.162162162,0.081081081,0.108108108,0.351351351,0.108108108,0.162162162,0.027027027
fruit1 NR,0.219178082,0.095890411,0.178082192,0.301369863,0.109589041,0.054794521,0.04109589
fruit2 KR,0.27480916,0.022900763,0.13740458,0.198473282,0.045801527,0.129770992,0.190839695
fruit2 MR,0.157303371,0.112359551,0.101123596,0.382022472,0.146067416,0.101123596,0
fruit2 LR,0.197435897,0.074358974,0.143589744,0.387179487,0.076923077,0.079487179,0.041025641
fruit2 HR,0.208333333,0.083333333,0.083333333,0.5,0,0.083333333,0.041666667
fruit2 NR,0.211111111,0.088888889,0.166666667,0.322222222,0.1,0.077777778,0.033333333
lime KR,0.22007722,0.069498069,0.137065637,0.310810811,0.098455598,0.088803089,0.075289575
lime MR,0.272727273,0.181818182,0.090909091,0.363636364,0,0,0.090909091
lime LR,0.147058824,0.073529412,0.132352941,0.441176471,0.058823529,0.132352941,0.014705882
lime HR,0,0,0,1,0,0,0
lime NR,0.192,0.072,0.152,0.44,0.024,0.088,0.032
nuts KR,0.214689266,0.084745763,0.118644068,0.305084746,0.073446328,0.062146893,0.141242938
nuts MR,0.258064516,0.043010753,0.150537634,0.268817204,0.129032258,0.129032258,0.021505376
nuts LR,0.148571429,0.08,0.125714286,0.445714286,0.068571429,0.097142857,0.034285714
nuts HR,0.264705882,0,0.117647059,0.352941176,0.147058824,0.088235294,0.029411765
