A/C,OT,RH,UT,NORMAL,RH_O,RH_UT,UT_O
housedust MR,0.107913669,0.147482014,0.176258993,0.172661871,0.151079137,0.118705036,0.125899281
housedust HR,0.147601476,0.147601476,0.103321033,0.114391144,0.136531365,0.191881919,0.158671587
housedust LR,0.150537634,0.161290323,0.139784946,0.139784946,0.11827957,0.075268817,0.215053763
housedust NR,0.243589744,0.08974359,0.166666667,0.128205128,0.166666667,0.141025641,0.064102564
cottondust LR,0.107913669,0.122302158,0.165467626,0.208633094,0.100719424,0.129496403,0.165467626
cottondust MR,0.16,0.144,0.12,0.144,0.168,0.172,0.092
cottondust KR,0,0.5,0.5,0,0,0,0
cottondust NR,0.179104478,0.189054726,0.15920398,0.109452736,0.174129353,0.07960199,0.109452736
cottondust HR,0.09375,0.0859375,0.1328125,0.1171875,0.09375,0.203125,0.2734375
aspergilus MR,0.103004292,0.137339056,0.124463519,0.163090129,0.115879828,0.21888412,0.137339056
aspergilus LR,0.161538462,0.161538462,0.192307692,0.130769231,0.123076923,0.069230769,0.161538462
aspergilus KR,0.111111111,0.333333333,0.111111111,0.333333333,0,0,0.111111111
aspergilus NR,0.131979695,0.131979695,0.16751269,0.152284264,0.182741117,0.091370558,0.14213198
aspergilus HR,0.205298013,0.139072848,0.099337748,0.092715232,0.158940397,0.165562914,0.139072848
pollen MR,0.159863946,0.149659864,0.146258503,0.132653061,0.146258503,0.12585034,0.139455782
pollen LR,0.052083333,0.197916667,0.15625,0.208333333,0.145833333,0.072916667,0.166666667
pollen KR,0.333333333,0.166666667,0,0,0,0.5,0
pollen NR,0.294117647,0.137254902,0.156862745,0.156862745,0.156862745,0.019607843,0.078431373
pollen HR,0.124542125,0.117216117,0.135531136,0.128205128,0.139194139,0.201465201,0.153846154
parthenium LR,0.181818182,0.181818182,0.127272727,0.236363636,0.054545455,0.145454545,0.072727273
parthenium MR,0.125984252,0.153543307,0.173228346,0.12992126,0.173228346,0.094488189,0.149606299
parthenium KR,1,0,0,0,0,0,0
parthenium NR,0.135135135,0.108108108,0.108108108,0.081081081,0.216216216,0.189189189,0.162162162
parthenium HR,0.14516129,0.134408602,0.129032258,0.142473118,0.129032258,0.172043011,0.147849462
coc kroach MR,0.162895928,0.167420814,0.14479638,0.126696833,0.14479638,0.108597285,0.14479638
coc kroach LR,0.189189189,0.121621622,0.121621622,0.054054054,0.121621622,0.27027027,0.121621622
coc kroach KR,0.4,0.2,0.4,0,0,0,0
coc kroach NR,0.178082192,0.136986301,0.205479452,0.04109589,0.178082192,0.04109589,0.219178082
coc kroach HR,0.109510086,0.132564841,0.129682997,0.193083573,0.141210375,0.161383285,0.132564841
catdander LR,0.4,0.1,0,0,0.2,0.3,0
catdander MR,0,0.5,0,0,0,0.5,0
catdander KR,0.142433234,0.142433234,0.143916914,0.143916914,0.139465875,0.142433234,0.145400593
catdander NR,0.09375,0.15625,0.15625,0.15625,0.1875,0.09375,0.15625
catdander HR,0,0,0.5,0,0.5,0,0
dosfur MR,0.181818182,0.090909091,0.272727273,0.090909091,0.227272727,0.090909091,0.045454545
dosfur LR,0.055555556,0.083333333,0.027777778,0.083333333,0.222222222,0.25,0.277777778
dosfur KR,0.143081761,0.147798742,0.146226415,0.147798742,0.13836478,0.135220126,0.141509434
dosfur NR,0.263157895,0.210526316,0.157894737,0.052631579,0.105263158,0.157894737,0.052631579
dosfur HR,0.142857143,0,0,0.285714286,0,0.428571429,0.142857143
roaddust MR,0.102564103,0.179487179,0.128205128,0,0.205128205,0.128205128,0.256410256
roaddust LR,0.128571429,0.1,0.171428571,0.114285714,0.128571429,0.2,0.157142857
roaddust KR,0.051282051,0.094017094,0.042735043,0.495726496,0.136752137,0.05982906,0.11965812
roaddust NR,0.170731707,0.158536585,0.162601626,0.073170732,0.140243902,0.156504065,0.138211382
roaddust HR,0,0,0.5,0,0.5,0,0
oldpdust LR,0.2,0.05,0.25,0.05,0.15,0.1,0.2
oldpdust MR,0,0,0.125,0,0.625,0.25,0
oldpdust KR,0.141509434,0.149371069,0.132075472,0.157232704,0.144654088,0.139937107,0.135220126
oldpdust NR,0.156862745,0.137254902,0.235294118,0.019607843,0.058823529,0.137254902,0.254901961
oldpdust HR,0.2,0,0.2,0,0,0.6,0
PSdust LR,0.169230769,0.092307692,0.230769231,0.061538462,0.046153846,0.138461538,0.261538462
PSdust MR,0.265306122,0.040816327,0.183673469,0.081632653,0.102040816,0.244897959,0.081632653
PSdust KR,0.125461255,0.143911439,0.121771218,0.21402214,0.162361624,0.140221402,0.092250923
PSdust NR,0.136778116,0.164133739,0.133738602,0.109422492,0.151975684,0.130699088,0.17325228
PSdust HR,0,0.333333333,0.333333333,0,0.166666667,0.166666667,0
MilkP MR,0.310344828,0.206896552,0.103448276,0.034482759,0,0.068965517,0.275862069
MilkP LR,0.142857143,0.095238095,0.174603175,0.047619048,0.079365079,0.238095238,0.222222222
MilkP KR,0.122807018,0.144249513,0.126705653,0.183235867,0.140350877,0.14619883,0.136452242
MilkP NR,0.180952381,0.142857143,0.20952381,0.038095238,0.228571429,0.095238095,0.104761905
MilkP HR,0.3,0.2,0.2,0,0.2,0.1,0
MilkC MR,0.115942029,0.260869565,0.173913043,0.057971014,0.173913043,0.101449275,0.115942029
MilkC LR,0.184466019,0.087378641,0.223300971,0.077669903,0.165048544,0.165048544,0.097087379
MilkC KR,0.128205128,0.125641026,0.107692308,0.197435897,0.128205128,0.171794872,0.141025641
MilkC NR,0.141666667,0.2,0.191666667,0.1,0.141666667,0.058333333,0.166666667
MilkC HR,0.236842105,0.078947368,0.078947368,0.026315789,0.184210526,0.131578947,0.263157895
curd LR,0.115384615,0.115384615,0.115384615,0.153846154,0.115384615,0.115384615,0.269230769
curd NR,0.203125,0.15625,0.203125,0.03125,0.1875,0.1875,0.03125
curd MR,0.25,0,0.25,0,0.25,0,0.25
curd KR,0.136655949,0.144694534,0.136655949,0.154340836,0.138263666,0.1414791,0.147909968
coffee LR,0.085714286,0.114285714,0.161904762,0.085714286,0.180952381,0.266666667,0.104761905
coffee MR,0.14516129,0.161290323,0.161290323,0.048387097,0.096774194,0.161290323,0.225806452
coffee KR,0.142857143,0.136054422,0.129251701,0.24829932,0.105442177,0.102040816,0.136054422
coffee NR,0.16872428,0.164609053,0.148148148,0.065843621,0.172839506,0.135802469,0.144032922
coffee HR,0.125,0.0625,0.125,0.0625,0.3125,0.125,0.1875
tea MR,0.130434783,0.130434783,0.173913043,0.15942029,0.043478261,0.231884058,0.130434783
tea LR,0.109090909,0.181818182,0.090909091,0.036363636,0.181818182,0.127272727,0.272727273
tea KR,0.126684636,0.145552561,0.129380054,0.199460916,0.148247978,0.121293801,0.129380054
tea NR,0.191176471,0.147058824,0.161764706,0.06372549,0.137254902,0.166666667,0.132352941
tea HR,0.095238095,0,0.238095238,0.095238095,0.333333333,0.047619048,0.19047619
beef LR,0.137931034,0.16091954,0.149425287,0.114942529,0.068965517,0.183908046,0.183908046
beef MR,0.171428571,0.157142857,0.142857143,0.014285714,0.142857143,0.228571429,0.142857143
beef KR,0.13229572,0.108949416,0.151750973,0.26459144,0.120622568,0.128404669,0.093385214
beef NR,0.150684932,0.167808219,0.130136986,0.065068493,0.181506849,0.130136986,0.174657534
beef HR,0.071428571,0.071428571,0.214285714,0.285714286,0.214285714,0,0.142857143
chicken LR,0.158730159,0.095238095,0.19047619,0.047619048,0.095238095,0.206349206,0.206349206
chicken MR,0.158730159,0.079365079,0.126984127,0.174603175,0.174603175,0.174603175,0.111111111
chicken KR,0.131386861,0.131386861,0.120437956,0.262773723,0.131386861,0.102189781,0.120437956
chicken NR,0.141176471,0.196078431,0.149019608,0.050980392,0.17254902,0.145098039,0.145098039
chicken HR,0.5,0,0,0,0,0.5,0
mutton LR,0.131147541,0.098360656,0.213114754,0.147540984,0.147540984,0.180327869,0.081967213
mutton MR,0.12,0.16,0.12,0,0.08,0.2,0.32
mutton KR,0.13172043,0.147849462,0.129032258,0.206989247,0.134408602,0.112903226,0.137096774
mutton NR,0.166023166,0.142857143,0.142857143,0.061776062,0.162162162,0.173745174,0.150579151
mutton HR,0,0.333333333,0.666666667,0,0,0,0
egg LR,0.181818182,0.127272727,0.145454545,0.054545455,0.145454545,0.2,0.145454545
egg MR,0.023255814,0.093023256,0.093023256,0.11627907,0.325581395,0.093023256,0.255813953
egg KR,0.14368932,0.14368932,0.13592233,0.182524272,0.133980583,0.133980583,0.126213592
egg NR,0.166666667,0.155555556,0.222222222,0,0.122222222,0.188888889,0.144444444
egg HR,0.176470588,0.235294118,0.058823529,0,0.058823529,0.117647059,0.352941176
fishA LR,0.147058824,0.147058824,0.161764706,0.058823529,0.117647059,0.25,0.117647059
fishA MR,0.142857143,0.166666667,0.166666667,0.071428571,0.214285714,0.095238095,0.142857143
fishA KR,0.141361257,0.12565445,0.128272251,0.217277487,0.136125654,0.123036649,0.128272251
fishA NR,0.141463415,0.170731707,0.146341463,0.058536585,0.151219512,0.151219512,0.180487805
fishA HR,0.173913043,0.130434783,0.260869565,0,0.130434783,0.173913043,0.130434783
fishB LR,0,0,0,0,0.333333333,0.666666667,0
fishB MR,0,0,0,0,0,1,0
fishB KR,0.146884273,0.142433234,0.139465875,0.145400593,0.146884273,0.135014837,0.143916914
fishB NR,0.1,0.175,0.2,0.1,0.075,0.2,0.15
fishB HR,0,0,1,0,0,0,0
crab LR,0.142857143,0.081632653,0.173469388,0.06122449,0.204081633,0.173469388,0.163265306
crab MR,0.21875,0.125,0.15625,0.09375,0.03125,0.21875,0.15625
crab KR,0.139880952,0.169642857,0.101190476,0.214285714,0.125,0.113095238,0.136904762
crab NR,0.144628099,0.140495868,0.194214876,0.08677686,0.148760331,0.144628099,0.140495868
crab HR,0,0,0,0,0.333333333,0.5,0.166666667
prawns LR,0.24,0.16,0.16,0.16,0.04,0.16,0.08
prawns MR,0.111111111,0.222222222,0.111111111,0.111111111,0.222222222,0.222222222,0
prawns KR,0.140869565,0.137391304,0.130434783,0.151304348,0.156521739,0.128695652,0.154782609
prawns NR,0.140186916,0.168224299,0.205607477,0.093457944,0.093457944,0.186915888,0.112149533
prawns HR,0,0,0.25,0,0,0.75,0
shark MR,0.173913043,0.188405797,0.115942029,0.101449275,0.101449275,0.115942029,0.202898551
shark LR,0.111888112,0.104895105,0.195804196,0.076923077,0.076923077,0.230769231,0.202797203
shark KR,0.089430894,0.12195122,0.056910569,0.536585366,0.081300813,0.048780488,0.06504065
shark NR,0.164864865,0.151351351,0.154054054,0.043243243,0.202702703,0.151351351,0.132432432
shark HR,0.2,0.266666667,0.2,0.133333333,0,0,0.2
avaraikai MR,0.185185185,0.037037037,0.259259259,0,0.185185185,0.185185185,0.148148148
avaraikai LR,0.106060606,0.106060606,0.181818182,0.045454545,0.106060606,0.227272727,0.227272727
avaraikai KR,0.148760331,0.14600551,0.126721763,0.212121212,0.14600551,0.123966942,0.096418733
avaraikai NR,0.13229572,0.163424125,0.143968872,0.085603113,0.147859922,0.147859922,0.178988327
avaraikai HR,0.428571429,0,0.142857143,0,0,0,0.428571429
banana MR,0.103448276,0.24137931,0.155172414,0.017241379,0.137931034,0.155172414,0.189655172
banana LR,0.158227848,0.132911392,0.126582278,0.101265823,0.151898734,0.170886076,0.158227848
banana KR,0.152777778,0.064814815,0.134259259,0.296296296,0.106481481,0.115740741,0.12962963
banana NR,0.130909091,0.174545455,0.156363636,0.076363636,0.174545455,0.152727273,0.134545455
banana HR,0.230769231,0.461538462,0.153846154,0,0,0,0.153846154
beans LR,0.126582278,0.151898734,0.151898734,0.025316456,0.189873418,0.126582278,0.227848101
beans MR,0.260869565,0.043478261,0.217391304,0,0.260869565,0.217391304,0
beans KR,0.118012422,0.124223602,0.118012422,0.229813665,0.130434783,0.136645963,0.142857143
beans NR,0.160409556,0.170648464,0.160409556,0.088737201,0.136518771,0.150170648,0.133105802
beans HR,0.666666667,0,0.333333333,0,0,0,0
beetroot LR,0.15,0.15,0.05,0,0.3,0.2,0.15
beetroot MR,0.272727273,0.090909091,0,0.090909091,0.181818182,0,0.363636364
beetroot KR,0.138747885,0.140439932,0.14213198,0.150592217,0.138747885,0.140439932,0.148900169
beetroot NR,0.15625,0.15625,0.1875,0.125,0.125,0.166666667,0.083333333
beetroot HR,0,0.5,0,0,0.5,0,0
brinjal LR,0.142857143,0.142857143,0.142857143,0,0,0.571428571,0
brinjal NR,0.13253012,0.120481928,0.204819277,0.072289157,0.180722892,0.084337349,0.204819277
brinjal KR,0.144444444,0.146031746,0.134920635,0.152380952,0.13968254,0.146031746,0.136507937
cabbage LR,0.217391304,0.304347826,0.173913043,0.130434783,0.043478261,0.130434783,0
cabbage MR,0.375,0.125,0,0.0625,0.125,0.3125,0
cabbage KR,0.130177515,0.128205128,0.149901381,0.175542406,0.1617357,0.130177515,0.124260355
cabbage NR,0.150289017,0.167630058,0.12716763,0.052023121,0.104046243,0.167630058,0.231213873
cabbage HR,0,0,1,0,0,0,0
capsicum LR,0.176470588,0.141176471,0.164705882,0.023529412,0.164705882,0.247058824,0.082352941
