A/C,OT,UT,RH_O,NORMAL,UT_O,RH,RH_UT
banana HR,0.210526316,0.210526316,0,0,0.105263158,0.473684211,0
banana KR,0.219512195,0.248780488,0.073170732,0.195121951,0.063414634,0.131707317,0.068292683
banana NR,0.172881356,0.281355932,0.098305085,0.047457627,0.071186441,0.250847458,0.077966102
banana LR,0.206666667,0.2,0.113333333,0.046666667,0.086666667,0.24,0.106666667
banana MR,0.140350877,0.263157895,0.087719298,0.01754386,0.052631579,0.350877193,0.087719298
beans HR,0.6,0.4,0,0,0,0,0
beans KR,0.170967742,0.229032258,0.090322581,0.138709677,0.070967742,0.222580645,0.077419355
beans NR,0.207119741,0.258899676,0.080906149,0.058252427,0.067961165,0.245954693,0.080906149
beans LR,0.157894737,0.25,0.131578947,0.013157895,0.118421053,0.25,0.078947368
beans MR,0.269230769,0.423076923,0.115384615,0,0,0.076923077,0.115384615
beetroot HR,0,0.25,0.25,0,0,0.5,0
beetroot KR,0.195205479,0.246575342,0.089041096,0.089041096,0.073630137,0.229452055,0.077054795
beetroot NR,0.160377358,0.330188679,0.075471698,0.08490566,0.047169811,0.20754717,0.094339623
beetroot LR,0.2,0.05,0.2,0,0.1,0.3,0.15
beetroot MR,0.333333333,0.166666667,0.083333333,0.083333333,0.166666667,0.166666667,0
brinjal LR,0.166666667,0.166666667,0,0,0,0.333333333,0.333333333
brinjal KR,0.195987654,0.24537037,0.086419753,0.089506173,0.069444444,0.233024691,0.080246914
brinjal MR,0,1,0,0,0,0,0
brinjal NR,0.154929577,0.309859155,0.14084507,0.056338028,0.098591549,0.183098592,0.056338028
cabbage HR,0,0.5,0,0,0,0.5,0
cabbage KR,0.184,0.246,0.106,0.106,0.07,0.216,0.072
cabbage NR,0.195402299,0.25862069,0.063218391,0.034482759,0.097701149,0.247126437,0.103448276
cabbage LR,0.206896552,0.275862069,0.034482759,0.068965517,0,0.344827586,0.068965517
cabbage MR,0.333333333,0.285714286,0.047619048,0.047619048,0,0.19047619,0.095238095
capsicum HR,0,0.363636364,0.090909091,0,0.090909091,0.363636364,0.090909091
capsicum KR,0.163265306,0.204081633,0.091836735,0.346938776,0.020408163,0.132653061,0.040816327
capsicum NR,0.193482688,0.248472505,0.089613035,0.046843177,0.087576375,0.258655804,0.075356415
capsicum LR,0.215909091,0.284090909,0.090909091,0.022727273,0.045454545,0.204545455,0.136363636
capsicum MR,0.236842105,0.315789474,0.105263158,0.078947368,0.052631579,0.105263158,0.105263158
chillie HR,0.857142857,0.142857143,0,0,0,0,0
chillie KR,0.19434629,0.238515901,0.097173145,0.093639576,0.072438163,0.224381625,0.0795053
chillie NR,0.158730159,0.30952381,0.063492063,0.071428571,0.055555556,0.277777778,0.063492063
chillie LR,0.1,0.35,0.1,0,0.15,0.1,0.2
chillie MR,0.142857143,0.142857143,0.142857143,0,0.142857143,0.285714286,0.142857143
cauliflower HR,0,0,0.5,0,0,0.5,0
cauliflower KR,0.181364393,0.242928453,0.099833611,0.096505824,0.073211314,0.227953411,0.078202995
cauliflower NR,0.244897959,0.295918367,0.040816327,0.030612245,0.071428571,0.224489796,0.091836735
cauliflower LR,0.272727273,0.227272727,0.045454545,0.045454545,0.045454545,0.272727273,0.090909091
cauliflower MR,0,1,0,0,0,0,0
carrot LR,0,0.166666667,0,0.166666667,0,0.333333333,0.333333333
carrot KR,0.196646341,0.256097561,0.089939024,0.086890244,0.073170732,0.224085366,0.073170732
carrot MR,0,0.5,0,0,0,0.5,0
carrot NR,0.161290323,0.209677419,0.112903226,0.064516129,0.064516129,0.258064516,0.129032258
chowchow HR,0.142857143,0.571428571,0,0,0,0.285714286,0
chowchow KR,0.163265306,0.142857143,0.051020408,0.336734694,0.020408163,0.193877551,0.091836735
chowchow NR,0.197154472,0.264227642,0.103658537,0.042682927,0.085365854,0.233739837,0.073170732
chowchow LR,0.1875,0.2875,0.0625,0.075,0.0625,0.225,0.1
chowchow MR,0.204081633,0.244897959,0.102040816,0.040816327,0.06122449,0.244897959,0.102040816
corn HR,0.166666667,0.222222222,0.166666667,0.055555556,0.111111111,0.277777778,0
corn KR,0.18556701,0.12371134,0.030927835,0.329896907,0.041237113,0.237113402,0.051546392
corn NR,0.199460916,0.25606469,0.094339623,0.053908356,0.067385445,0.247978437,0.080862534
corn LR,0.220125786,0.283018868,0.100628931,0.025157233,0.100628931,0.182389937,0.088050314
corn MR,0.111111111,0.333333333,0.111111111,0.061728395,0.061728395,0.209876543,0.111111111
cucumber HR,0,0,0.5,0,0,0,0.5
cucumber KR,0.237288136,0.175141243,0.11299435,0.18079096,0.050847458,0.197740113,0.04519774
cucumber NR,0.180327869,0.278688525,0.081967213,0.058548009,0.072599532,0.243559719,0.084309133
cucumber LR,0.161290323,0.279569892,0.053763441,0.021505376,0.096774194,0.279569892,0.107526882
cucumber MR,0.185185185,0.259259259,0.185185185,0.111111111,0.111111111,0.037037037,0.111111111
drumstick HR,0,0,0,0.666666667,0.333333333,0,0
drumstick KR,0.192446043,0.242805755,0.098920863,0.088129496,0.06294964,0.232014388,0.082733813
drumstick NR,0.204225352,0.288732394,0.056338028,0.063380282,0.084507042,0.232394366,0.070422535
drumstick LR,0.1,0.3,0.1,0.1,0.2,0.2,0
drumstick MR,0.2,0.2,0.2,0,0,0,0.4
greens LR,0,0.285714286,0.142857143,0,0,0.142857143,0.428571429
greens KR,0.197014925,0.244776119,0.091044776,0.088059701,0.074626866,0.232835821,0.071641791
greens MR,0,1,0,0,0,0,0
greens NR,0.145833333,0.333333333,0.083333333,0.0625,0.041666667,0.1875,0.145833333
gourds HR,0.24137931,0.310344828,0.034482759,0,0.137931034,0.103448276,0.172413793
gourds KR,0.105769231,0.144230769,0.076923077,0.326923077,0.038461538,0.240384615,0.067307692
gourds NR,0.246575342,0.23630137,0.106164384,0.051369863,0.068493151,0.23630137,0.054794521
gourds LR,0.154696133,0.270718232,0.093922652,0.033149171,0.077348066,0.26519337,0.104972376
gourds MR,0.175,0.341666667,0.075,0.058333333,0.083333333,0.175,0.091666667
kovaikai HR,0,0.5,0,0,0,0.5,0
kovaikai KR,0.179133858,0.255905512,0.098425197,0.086614173,0.070866142,0.228346457,0.080708661
kovaikai NR,0.221590909,0.232954545,0.079545455,0.079545455,0.079545455,0.227272727,0.079545455
kovaikai LR,0.148148148,0.333333333,0.074074074,0.074074074,0.037037037,0.222222222,0.111111111
kovaikai MR,0.384615385,0.153846154,0,0.153846154,0.076923077,0.230769231,0
kothavarai HR,0.5,0.5,0,0,0,0,0
kothavarai KR,0.190317195,0.235392321,0.093489149,0.088480801,0.061769616,0.245409015,0.085141903
kothavarai NR,0.16091954,0.344827586,0.068965517,0.091954023,0.126436782,0.149425287,0.057471264
kothavarai LR,0.296296296,0.222222222,0.111111111,0.037037037,0.111111111,0.185185185,0.037037037
kothavarai MR,0,0.428571429,0.142857143,0,0.142857143,0.142857143,0.142857143
Lfinger HR,0.5,0.166666667,0,0.333333333,0,0,0
Lfinger KR,0.185714286,0.25,0.092857143,0.096428571,0.064285714,0.232142857,0.078571429
Lfinger NR,0.176,0.288,0.088,0.04,0.112,0.216,0.08
Lfinger LR,0.296296296,0.111111111,0.111111111,0.037037037,0.037037037,0.259259259,0.148148148
Lfinger MR,0.25,0.375,0,0,0.125,0.25,0
malli HR,0,0,0,0.5,0.25,0.25,0
malli KR,0.197204969,0.24378882,0.086956522,0.080745342,0.074534161,0.236024845,0.080745342
malli NR,0.166666667,0.363636364,0.136363636,0.045454545,0.045454545,0.196969697,0.045454545
malli LR,0.090909091,0.181818182,0.090909091,0.454545455,0,0,0.181818182
malli MR,0,0,0,0,0,0,1
mango HR,0,0.375,0.375,0,0.125,0.125,0
mango KR,0.169811321,0.094339623,0,0.603773585,0,0.075471698,0.056603774
mango NR,0.203454894,0.249520154,0.09596929,0.047984645,0.074856046,0.255278311,0.07293666
mango LR,0.161904762,0.304761905,0.066666667,0.038095238,0.095238095,0.219047619,0.114285714
mango MR,0.179487179,0.333333333,0.153846154,0.025641026,0.051282051,0.128205128,0.128205128
mushroom HR,0,0.666666667,0,0,0,0.333333333,0
mushroom KR,0.189189189,0.249480249,0.095634096,0.091476091,0.076923077,0.232848233,0.064449064
mushroom NR,0.208121827,0.228426396,0.096446701,0.065989848,0.065989848,0.228426396,0.106598985
mushroom LR,0.090909091,0.303030303,0.03030303,0.151515152,0.03030303,0.212121212,0.181818182
mushroom MR,0.333333333,0.5,0,0,0.083333333,0.083333333,0
